1,187.2699,589.6655
2,178.5088,529.4255
3,184.8805,684.5891
4,185.677,716.5345
5,229.4823,686.4145
6,276.4735,687.3273
7,227.0929,583.2764
8,278.0664,571.4109
9,261.3407,511.1709
10,203.1991,507.52
11,130.7212,482.8764
12,250.9867,613.3964
13,327.4469,564.1091
14,191.2522,471.9236
15,361.6947,664.5091
16,375.2345,708.32
17,403.1106,645.3418
18,266.9159,368.7855
19,207.1814,382.4764
20,142.6681,397.9927
21,249.3938,306.72
22,131.5177,335.9273
23,226.2965,233.7018
24,133.1106,261.0836
25,212.7566,184.4145
26,148.2434,197.1927
27,78.1549,213.6218
28,201.6062,143.3418
29,186.4735,100.4436
30,235.0575,94.0545
31,130.7212,144.2545
32,119.5708,98.6182
33,66.208,139.6909
34,344.969,610.6582
35,356.1195,345.9673
36,444.5265,371.5236
37,361.6947,397.08
38,499.4823,354.1818
39,545.677,341.4036
40,344.1726,305.8073
41,416.6504,284.8145
42,333.0221,269.2982
43,422.2257,239.1782
44,320.2788,229.1382
45,379.2168,210.8836
46,438.1549,190.8036
47,302.7566,177.1127
48,254.969,190.8036
49,364.8805,161.5964
50,419.0398,143.3418
51,469.2168,129.6509
52,455.677,540.3782
53,507.4469,532.1636
54,548.0664,525.7745
55,587.8894,521.2109
56,631.6947,513.9091
57,524.969,453.6691
58,479.5708,468.2727
59,419.8363,480.1382
60,638.0664,429.9382
61,657.9779,483.7891
62,634.8805,322.2364
63,619.7478,263.8218
64,602.2257,217.2727
65,536.9159,241.0036
66,550.4558,285.7273
67,771.0752,414.4218
68,809.3053,390.6909
69,845.146,366.96
70,880.9867,346.88
71,923.1991,317.6727
72,788.5973,474.6618
73,830.0133,450.9309
74,872.2257,425.3745
75,913.6416,400.7309
76,806.9159,543.1164
77,833.9956,526.6873
78,864.2611,514.8218
79,890.5442,496.5673
80,869.0398,563.1964
81,872.2257,619.7855
82,874.615,683.6764
83,925.5885,684.5891
84,930.3673,581.4509
85,927.9779,468.2727
86,816.4735,648.9927
87,730.4558,655.3818
88,720.8982,611.5709
89,659.5708,662.6836
90,655.5885,614.3091
91,590.2788,672.7236
92,583.1106,624.3491
93,528.1549,676.3745
94,513.0221,567.76
95,476.385,680.9382
96,464.4381,607.0073
97,743.9956,354.1818
98,772.6681,331.3636
99,807.7124,309.4582
100,860.2788,268.3855
101,723.2876,290.2909
102,764.7035,264.7345
103,813.2876,232.7891
104,854.7035,205.4073
105,707.3584,242.8291
106,751.1637,215.4473
107,813.2876,177.1127
108,691.4292,194.4545
109,733.6416,167.9855
110,789.3938,134.2145
111,715.323,131.4764
112,836.385,131.4764
113,890.5442,131.4764
114,945.5,132.3891
135,313.9071,356.92
149,135.5,589.6655
150,47.8894,588.7527
151,596.6504,119.6109
152,396.7389,552.2436
160,692.2257,421.7236
195,475.5885,722.0109
197,733,320
250,280.4558,87.6655
251,281.2522,121.4364
300,662.7566,116.8727
350,688.2434,92.2291
450,900.1018,242.8291
451,939.9248,213.6218
610,725.677,471.9236
